data,ano,mes,quinzena,PRCP,TMAX,TMIN,diff,TMean
1973-05-01,1973.0,5.0,1.0,10.456043956043956,216.57009345794393,117.41121495327103,99.1588785046729,166.99065420560748
1973-05-02,1973.0,5.0,1.0,18.346153846153847,221.41666666666666,128.97222222222223,92.44444444444444,175.19444444444446
1973-05-03,1973.0,5.0,1.0,60.46153846153846,189.0185185185185,66.83333333333333,122.18518518518519,127.92592592592592
1973-05-04,1973.0,5.0,1.0,7.769230769230769,114.37962962962963,25.51851851851852,88.86111111111111,69.94907407407408
1973-05-05,1973.0,5.0,1.0,1.6373626373626373,148.0462962962963,2.888888888888889,145.15740740740742,75.4675925925926
1973-05-06,1973.0,5.0,1.0,0.06043956043956044,177.24074074074073,23.59259259259259,153.64814814814815,100.41666666666667
1973-05-07,1973.0,5.0,1.0,1.6703296703296704,211.75,87.1214953271028,125.0,149.6214953271028
1973-05-08,1973.0,5.0,1.0,67.8956043956044,221.12037037037038,130.78504672897196,90.27102803738318,175.92056074766356
1973-05-09,1973.0,5.0,1.0,84.1923076923077,235.2685185185185,128.62616822429908,106.71028037383178,181.98130841121494
1973-05-10,1973.0,5.0,1.0,26.62087912087912,232.44444444444446,130.44859813084113,101.77570093457943,181.33644859813083
1973-05-11,1973.0,5.0,1.0,92.86263736263736,207.52777777777777,100.25,107.27777777777777,153.88888888888889
1973-05-12,1973.0,5.0,1.0,7.115384615384615,190.22222222222223,89.60185185185185,100.62037037037037,139.91203703703704
1973-05-13,1973.0,5.0,1.0,4.351648351648351,154.9537037037037,66.68518518518519,88.26851851851852,110.81944444444444
1973-05-14,1973.0,5.0,1.0,4.895604395604396,156.34259259259258,42.97222222222222,113.37037037037037,99.6574074074074
1973-05-15,1973.0,5.0,1.0,16.445054945054945,155.5462962962963,30.39814814814815,125.14814814814815,92.97222222222223
1973-05-16,1973.0,5.0,2.0,3.3076923076923075,179.0185185185185,33.879629629629626,145.13888888888889,106.44907407407408
1973-05-17,1973.0,5.0,2.0,28.906593406593405,170.02777777777777,21.833333333333332,148.19444444444446,95.93055555555556
1973-05-18,1973.0,5.0,2.0,3.576923076923077,157.65740740740742,13.268518518518519,144.38888888888889,85.46296296296296
1973-05-19,1973.0,5.0,2.0,21.021978021978022,172.80373831775702,64.37383177570094,108.42990654205607,118.58878504672897
1973-05-20,1973.0,5.0,2.0,136.88950276243094,175.9814814814815,91.1574074074074,84.82407407407408,133.56944444444446
1973-05-21,1973.0,5.0,2.0,4.342541436464089,209.07407407407408,60.7962962962963,148.27777777777777,134.9351851851852
1973-05-22,1973.0,5.0,2.0,4.933701657458563,220.83333333333334,100.6574074074074,120.17592592592592,160.74537037037038
1973-05-23,1973.0,5.0,2.0,41.35911602209945,215.85185185185185,130.50925925925927,85.3425925925926,173.18055555555554
1973-05-24,1973.0,5.0,2.0,59.270718232044196,203.75925925925927,131.26168224299064,73.10280373831776,167.81308411214954
1973-05-25,1973.0,5.0,2.0,56.65934065934066,208.2037037037037,126.9074074074074,81.29629629629629,167.55555555555554
1973-05-26,1973.0,5.0,2.0,85.78021978021978,229.45794392523365,119.78703703703704,109.58878504672897,174.66355140186917
1973-05-27,1973.0,5.0,2.0,45.62637362637363,226.30555555555554,127.96296296296296,98.3425925925926,177.13425925925927
1973-05-28,1973.0,5.0,2.0,60.6978021978022,236.8785046728972,151.49532710280374,85.38317757009345,194.18691588785046
1973-05-29,1973.0,5.0,2.0,28.313186813186814,231.21495327102804,134.2336448598131,96.98130841121495,182.72429906542055
1973-05-30,1973.0,5.0,2.0,44.467032967032964,207.91666666666666,119.28971962616822,88.4392523364486,163.50934579439252
1973-05-31,1973.0,5.0,2.0,46.64835164835165,210.0,98.41121495327103,111.66037735849056,154.16981132075472
1973-06-01,1973.0,6.0,1.0,0.20108695652173914,240.95454545454547,106.28181818181818,134.6727272727273,173.61818181818182
1973-06-02,1973.0,6.0,1.0,0.24456521739130435,265.3363636363636,113.98181818181818,151.35454545454544,189.6590909090909
1973-06-03,1973.0,6.0,1.0,15.28804347826087,284.3545454545455,152.64545454545456,131.70909090909092,218.5
1973-06-04,1973.0,6.0,1.0,99.11413043478261,291.94545454545454,169.35454545454544,122.5909090909091,230.65
1973-06-05,1973.0,6.0,1.0,161.375,288.8,169.70909090909092,119.0909090909091,229.25454545454545
1973-06-06,1973.0,6.0,1.0,101.61413043478261,260.3090909090909,168.73636363636365,91.57272727272728,214.52272727272728
1973-06-07,1973.0,6.0,1.0,45.03260869565217,255.9181818181818,136.0909090909091,119.82727272727273,196.00454545454545
1973-06-08,1973.0,6.0,1.0,0.0,281.9,140.38532110091742,141.29357798165137,211.0321100917431
1973-06-09,1973.0,6.0,1.0,0.43478260869565216,296.95412844036696,180.40366972477065,116.55045871559633,238.67889908256882
1973-06-10,1973.0,6.0,1.0,0.16847826086956522,314.07339449541286,170.22935779816513,143.8440366972477,242.151376146789
1973-06-11,1973.0,6.0,1.0,0.29347826086956524,321.58181818181816,189.63636363636363,131.94545454545454,255.6090909090909
1973-06-12,1973.0,6.0,1.0,42.42391304347826,314.57272727272726,196.1818181818182,118.39090909090909,255.37727272727273
1973-06-13,1973.0,6.0,1.0,91.25,277.95454545454544,169.57272727272726,108.38181818181818,223.76363636363635
1973-06-14,1973.0,6.0,1.0,3.222826086956522,266.1545454545454,111.55454545454545,154.6,188.85454545454544
1973-06-15,1973.0,6.0,1.0,0.9782608695652174,279.2,120.0,159.2,199.6
1973-06-16,1973.0,6.0,2.0,84.51086956521739,296.0090909090909,176.78181818181818,119.22727272727273,236.39545454545456
1973-06-17,1973.0,6.0,2.0,106.22826086956522,289.6090909090909,176.8181818181818,112.7909090909091,233.21363636363637
1973-06-18,1973.0,6.0,2.0,110.5,277.74074074074076,171.65740740740742,106.08333333333333,224.69907407407408
1973-06-19,1973.0,6.0,2.0,18.244565217391305,299.348623853211,179.52293577981652,119.8256880733945,239.43577981651376
1973-06-20,1973.0,6.0,2.0,133.67391304347825,299.06363636363636,177.8909090909091,121.17272727272727,238.47727272727272
1973-06-21,1973.0,6.0,2.0,36.11413043478261,284.57798165137615,179.87155963302752,104.70642201834862,232.22477064220183
1973-06-22,1973.0,6.0,2.0,6.842391304347826,274.91818181818184,166.92727272727274,107.99090909090908,220.9227272727273
1973-06-23,1973.0,6.0,2.0,6.494565217391305,272.6818181818182,143.6818181818182,129.0,208.1818181818182
1973-06-24,1973.0,6.0,2.0,44.90760869565217,272.9074074074074,140.9908256880734,131.94444444444446,206.9351851851852
1973-06-25,1973.0,6.0,2.0,20.027173913043477,284.64220183486236,144.8348623853211,140.12962962962962,214.9537037037037
1973-06-26,1973.0,6.0,2.0,9.619565217391305,300.2909090909091,171.22727272727272,129.06363636363636,235.7590909090909
1973-06-27,1973.0,6.0,2.0,110.76086956521739,275.96363636363634,168.53636363636363,107.42727272727272,222.25
1973-06-28,1973.0,6.0,2.0,60.54891304347826,238.53636363636363,159.8090909090909,78.72727272727273,199.1727272727273
1973-06-29,1973.0,6.0,2.0,69.03804347826087,241.6090909090909,130.27272727272728,111.33636363636364,185.9409090909091
1973-06-30,1973.0,6.0,2.0,3.2282608695652173,256.1,125.93577981651376,130.06422018348624,190.9678899082569
1973-07-01,1973.0,7.0,1.0,9.617486338797814,281.8181818181818,150.46363636363637,131.35454545454544,216.1409090909091
1973-07-02,1973.0,7.0,1.0,18.136612021857925,301.4727272727273,173.9,127.57272727272728,237.68636363636364
1973-07-03,1973.0,7.0,1.0,97.08196721311475,309.9357798165138,195.37614678899084,114.55963302752293,252.6559633027523
1973-07-04,1973.0,7.0,1.0,84.0,302.3181818181818,183.3,119.01818181818182,242.8090909090909
1973-07-05,1973.0,7.0,1.0,57.49726775956284,280.3181818181818,156.9181818181818,123.4,218.61818181818182
1973-07-06,1973.0,7.0,1.0,0.02717391304347826,285.3333333333333,149.43243243243242,135.9009009009009,217.38288288288288
1973-07-07,1973.0,7.0,1.0,0.0,302.93636363636364,164.36363636363637,138.57272727272726,233.65
1973-07-08,1973.0,7.0,1.0,0.0,315.7909090909091,176.87155963302752,138.86238532110093,246.30275229357798
1973-07-09,1973.0,7.0,1.0,0.6162162162162163,321.6126126126126,198.83783783783784,122.77477477477477,260.22522522522524
1973-07-10,1973.0,7.0,1.0,30.227027027027027,308.27927927927925,195.38738738738738,112.89189189189189,251.83333333333334
1973-07-11,1973.0,7.0,1.0,68.93513513513514,272.54954954954957,165.54954954954954,107.0,219.04954954954954
1973-07-12,1973.0,7.0,1.0,1.4516129032258065,252.33333333333334,100.23423423423424,152.0990990990991,176.28378378378378
1973-07-13,1973.0,7.0,1.0,0.11290322580645161,297.6936936936937,149.8909090909091,147.27272727272728,223.52727272727273
1973-07-14,1973.0,7.0,1.0,7.827956989247312,319.85585585585585,187.07207207207207,132.78378378378378,253.46396396396398
1973-07-15,1973.0,7.0,1.0,62.0,286.86486486486484,174.15315315315314,112.71171171171171,230.50900900900902
1973-07-16,1973.0,7.0,2.0,0.3924731182795699,266.6936936936937,143.0818181818182,123.81818181818181,204.9909090909091
1973-07-17,1973.0,7.0,2.0,0.0,272.8454545454546,122.74545454545455,150.5045871559633,197.80275229357798
1973-07-18,1973.0,7.0,2.0,0.0,288.6936936936937,126.75454545454545,161.8909090909091,207.7
1973-07-19,1973.0,7.0,2.0,0.1935483870967742,301.18918918918916,148.80180180180182,152.38738738738738,224.9954954954955
1973-07-20,1973.0,7.0,2.0,50.09139784946237,292.07272727272726,188.8272727272727,103.24545454545455,240.45
1973-07-21,1973.0,7.0,2.0,280.241935483871,255.1818181818182,189.54545454545453,65.63636363636364,222.36363636363637
1973-07-22,1973.0,7.0,2.0,86.8763440860215,259.7117117117117,181.87387387387386,77.83783783783784,220.7927927927928
1973-07-23,1973.0,7.0,2.0,21.177419354838708,283.009009009009,179.76576576576576,103.24324324324324,231.38738738738738
1973-07-24,1973.0,7.0,2.0,34.47849462365591,288.1454545454545,191.92727272727274,96.21818181818182,240.03636363636363
1973-07-25,1973.0,7.0,2.0,128.93010752688173,284.6306306306306,199.56756756756758,85.06306306306307,242.0990990990991
1973-07-26,1973.0,7.0,2.0,49.946236559139784,287.8288288288288,204.77477477477478,83.05405405405405,246.30180180180182
1973-07-27,1973.0,7.0,2.0,56.5,285.4054054054054,191.6036036036036,93.8018018018018,238.5045045045045
1973-07-28,1973.0,7.0,2.0,1.7081081081081082,285.1545454545454,185.62727272727273,99.52727272727273,235.3909090909091
1973-07-29,1973.0,7.0,2.0,6.681081081081081,270.39639639639637,152.44144144144144,117.95495495495496,211.4189189189189
1973-07-30,1973.0,7.0,2.0,1.8162162162162163,274.990990990991,142.96396396396398,132.02702702702703,208.97747747747746
1973-07-31,1973.0,7.0,2.0,22.924324324324324,277.69444444444446,170.87962962962962,106.81481481481481,224.28703703703704
1973-08-01,1973.0,8.0,1.0,48.24324324324324,264.3363636363636,184.96363636363637,79.37272727272727,224.65
1973-08-02,1973.0,8.0,1.0,3.502702702702703,261.42727272727274,154.11818181818182,107.30909090909091,207.77272727272728
