data,ano,mes,quinzena,PRCP,TMAX,TMIN,diff,TMean
2004-07-03,2004.0,7.0,1.0,77.6123188405797,285.89473684210526,197.91447368421052,87.98026315789474,241.9046052631579
2004-07-04,2004.0,7.0,1.0,105.77372262773723,282.9407894736842,200.625,82.3157894736842,241.7828947368421
2004-07-05,2004.0,7.0,1.0,32.86296296296296,290.6622516556291,188.83443708609272,101.82781456953643,239.74834437086093
2004-07-06,2004.0,7.0,1.0,91.5091575091575,287.66887417218544,182.26315789473685,105.41059602649007,234.96357615894038
2004-07-07,2004.0,7.0,1.0,44.338235294117645,267.7207792207792,160.72549019607843,107.15032679738562,214.30065359477123
2004-07-08,2004.0,7.0,1.0,4.2327272727272724,248.46753246753246,145.94155844155844,102.52597402597402,197.20454545454547
2004-07-09,2004.0,7.0,1.0,42.776556776556774,274.74342105263156,171.63815789473685,103.10526315789474,223.19078947368422
2004-07-10,2004.0,7.0,1.0,103.86715867158672,294.42105263157896,194.4671052631579,99.95394736842105,244.4440789473684
2004-07-11,2004.0,7.0,1.0,41.099264705882355,304.2236842105263,195.5921052631579,108.63157894736842,249.9078947368421
2004-07-12,2004.0,7.0,1.0,54.356617647058826,310.77272727272725,204.07792207792207,106.6948051948052,257.4253246753247
2004-07-13,2004.0,7.0,1.0,13.054347826086957,318.49032258064517,201.4,117.09032258064516,259.9451612903226
2004-07-14,2004.0,7.0,1.0,33.29818181818182,310.461038961039,181.26797385620915,129.47712418300654,246.00653594771242
2004-07-15,2004.0,7.0,1.0,2.105839416058394,283.987012987013,166.16883116883116,117.81818181818181,225.07792207792207
2004-07-16,2004.0,7.0,2.0,8.047101449275363,288.73376623376623,175.54545454545453,113.18831168831169,232.1396103896104
2004-07-17,2004.0,7.0,2.0,29.073260073260073,281.01960784313724,175.90066225165563,105.19867549668874,228.5
2004-07-18,2004.0,7.0,2.0,7.058608058608058,267.78145695364236,158.10596026490066,109.67549668874172,212.9437086092715
2004-07-19,2004.0,7.0,2.0,0.4489051094890511,281.1045751633987,155.52941176470588,125.57516339869281,218.31699346405227
2004-07-20,2004.0,7.0,2.0,3.76,297.96753246753246,179.37012987012986,118.59740259740259,238.66883116883116
2004-07-21,2004.0,7.0,2.0,11.902173913043478,315.7922077922078,212.33116883116884,103.46103896103897,264.06168831168833
2004-07-22,2004.0,7.0,2.0,34.143884892086334,320.3246753246753,213.35714285714286,106.96753246753246,266.84090909090907
2004-07-23,2004.0,7.0,2.0,63.63868613138686,293.2751677852349,177.6979865771812,115.57718120805369,235.48657718120805
2004-07-24,2004.0,7.0,2.0,4.601449275362318,250.3815789473684,143.69736842105263,106.6842105263158,197.03947368421052
2004-07-25,2004.0,7.0,2.0,35.63868613138686,227.56291390728478,147.3112582781457,80.25165562913908,187.43708609271522
2004-07-26,2004.0,7.0,2.0,9.84981684981685,231.47712418300654,136.58823529411765,94.88888888888889,184.03267973856208
2004-07-27,2004.0,7.0,2.0,1.0654545454545454,251.94155844155844,120.2483660130719,131.77777777777777,186.13725490196077
2004-07-28,2004.0,7.0,2.0,0.20363636363636364,273.4129032258065,129.1225806451613,144.29032258064515,201.26774193548388
2004-07-29,2004.0,7.0,2.0,3.6545454545454548,279.55555555555554,155.05882352941177,124.49673202614379,217.30718954248366
2004-07-30,2004.0,7.0,2.0,69.54710144927536,265.0263157894737,174.57894736842104,90.44736842105263,219.80263157894737
2004-07-31,2004.0,7.0,2.0,70.68498168498168,258.841059602649,172.94701986754967,85.89403973509934,215.89403973509934
2004-08-01,2004.0,8.0,1.0,0.09125475285171103,298.0536912751678,166.06711409395973,131.98657718120805,232.06040268456377
2004-08-02,2004.0,8.0,1.0,1.6704545454545454,307.6118421052632,184.31578947368422,123.29605263157895,245.96381578947367
2004-08-03,2004.0,8.0,1.0,36.70786516853933,312.20529801324506,190.3112582781457,121.89403973509934,251.25827814569536
2004-08-04,2004.0,8.0,1.0,127.42910447761194,304.1753246753247,195.4025974025974,108.77272727272727,249.78896103896105
2004-08-05,2004.0,8.0,1.0,27.230188679245284,261.66013071895424,147.54248366013073,114.11764705882354,204.6013071895425
2004-08-06,2004.0,8.0,1.0,0.29924242424242425,247.33116883116884,109.36363636363636,137.96753246753246,178.3474025974026
2004-08-07,2004.0,8.0,1.0,0.011363636363636364,248.36184210526315,111.07236842105263,137.28947368421052,179.7171052631579
2004-08-08,2004.0,8.0,1.0,1.5833333333333333,262.375,128.375,134.0,195.375
2004-08-09,2004.0,8.0,1.0,6.996240601503759,285.35714285714283,157.64935064935065,127.70779220779221,221.50324675324674
2004-08-10,2004.0,8.0,1.0,15.79245283018868,274.46451612903223,150.8516129032258,123.61290322580645,212.65806451612903
2004-08-11,2004.0,8.0,1.0,0.30451127819548873,216.42857142857142,113.18181818181819,103.24675324675324,164.80519480519482
2004-08-12,2004.0,8.0,1.0,0.49056603773584906,192.12337662337663,93.18181818181819,98.94155844155844,142.6525974025974
2004-08-13,2004.0,8.0,1.0,0.32452830188679244,202.36129032258066,92.52258064516128,109.83870967741936,147.44193548387096
2004-08-14,2004.0,8.0,1.0,0.022556390977443608,228.9933774834437,90.1456953642384,138.8476821192053,159.56953642384107
2004-08-15,2004.0,8.0,1.0,0.3895131086142322,240.69078947368422,87.49342105263158,153.19736842105263,164.0921052631579
2004-08-16,2004.0,8.0,2.0,1.6505576208178439,257.09032258064514,96.92903225806451,160.16129032258064,177.00967741935483
2004-08-17,2004.0,8.0,2.0,15.353159851301115,272.04545454545456,129.90196078431373,142.0,200.90196078431373
2004-08-18,2004.0,8.0,2.0,36.32841328413284,285.6623376623377,163.56493506493507,122.09740259740259,224.61363636363637
2004-08-19,2004.0,8.0,2.0,57.67158671586716,278.359477124183,165.94736842105263,112.23026315789474,222.0625
2004-08-20,2004.0,8.0,2.0,77.4907063197026,245.81045751633988,148.1184210526316,97.88157894736842,197.05921052631578
2004-08-21,2004.0,8.0,2.0,49.06439393939394,237.93333333333334,121.42384105960265,116.66,179.60333333333332
2004-08-22,2004.0,8.0,2.0,0.7547169811320755,265.22222222222223,121.2875816993464,143.9346405228758,193.2549019607843
2004-08-23,2004.0,8.0,2.0,6.230483271375465,286.2913907284768,153.25827814569536,133.03311258278146,219.7748344370861
2004-08-24,2004.0,8.0,2.0,67.14760147601476,285.88235294117646,178.16447368421052,107.76973684210526,232.04934210526315
2004-08-25,2004.0,8.0,2.0,137.6925925925926,273.4805194805195,187.53246753246754,85.94805194805195,230.5064935064935
2004-08-26,2004.0,8.0,2.0,297.64684014869886,276.80392156862746,194.98039215686273,81.82352941176471,235.8921568627451
2004-08-27,2004.0,8.0,2.0,81.03717472118959,301.9867549668874,206.76158940397352,95.2251655629139,254.37417218543047
2004-08-28,2004.0,8.0,2.0,124.63805970149254,290.1644736842105,187.21052631578948,102.95394736842105,238.6875
2004-08-29,2004.0,8.0,2.0,99.9245283018868,248.62666666666667,145.66887417218544,103.06,197.09666666666666
2004-08-30,2004.0,8.0,2.0,2.607547169811321,238.11184210526315,121.02631578947368,117.08552631578948,179.5690789473684
2004-08-31,2004.0,8.0,2.0,0.07894736842105263,268.9477124183006,128.281045751634,140.66666666666666,198.6143790849673
2005-05-01,2005.0,5.0,1.0,0.4148148148148148,142.32450331125827,17.735099337748345,124.58940397350993,80.02980132450331
2005-05-02,2005.0,5.0,1.0,0.17037037037037037,121.2483660130719,16.07843137254902,105.16993464052288,68.66339869281046
2005-05-03,2005.0,5.0,1.0,0.4522058823529412,122.77777777777777,-5.823529411764706,128.6013071895425,58.47712418300654
2005-05-04,2005.0,5.0,1.0,0.01838235294117647,163.04575163398692,-1.6470588235294117,164.69281045751634,80.69934640522875
2005-05-05,2005.0,5.0,1.0,0.0,201.2156862745098,24.92763157894737,176.18421052631578,113.01973684210526
2005-05-06,2005.0,5.0,1.0,0.07720588235294118,232.2483660130719,67.83660130718954,164.41176470588235,150.04248366013073
2005-05-07,2005.0,5.0,1.0,2.437037037037037,254.125,102.8092105263158,151.31578947368422,178.4671052631579
2005-05-08,2005.0,5.0,1.0,4.033333333333333,276.0718954248366,118.24183006535948,157.83006535947712,197.15686274509804
2005-05-09,2005.0,5.0,1.0,27.301470588235293,274.038961038961,152.0974025974026,121.94155844155844,213.0681818181818
2005-05-10,2005.0,5.0,1.0,16.0,271.63398692810455,146.19607843137254,125.43790849673202,208.91503267973857
2005-05-11,2005.0,5.0,1.0,37.67527675276753,281.91503267973854,139.2941176470588,142.62091503267973,210.6045751633987
2005-05-12,2005.0,5.0,1.0,57.21978021978022,243.69934640522877,102.22727272727273,141.640522875817,172.87908496732027
2005-05-13,2005.0,5.0,1.0,37.03321033210332,228.42384105960264,113.95364238410596,114.47019867549669,171.1887417218543
2005-05-14,2005.0,5.0,1.0,54.7360594795539,237.26490066225165,111.50331125827815,125.76158940397352,174.3841059602649
2005-05-15,2005.0,5.0,1.0,8.937037037037037,184.35099337748343,61.03973509933775,123.3112582781457,122.69536423841059
2005-05-16,2005.0,5.0,2.0,0.29259259259259257,165.0,38.03333333333333,126.85234899328859,101.37919463087249
2005-05-17,2005.0,5.0,2.0,0.01845018450184502,208.4640522875817,63.58552631578947,144.60526315789474,135.88815789473685
2005-05-18,2005.0,5.0,2.0,4.974169741697417,248.65131578947367,103.61842105263158,145.0328947368421,176.13486842105263
2005-05-19,2005.0,5.0,2.0,98.97047970479704,269.84313725490193,140.9281045751634,128.91503267973857,205.3856209150327
2005-05-20,2005.0,5.0,2.0,59.84444444444444,257.7828947368421,128.53947368421052,129.2434210526316,193.16118421052633
2005-05-21,2005.0,5.0,2.0,0.5645756457564576,213.40666666666667,98.72,114.68666666666667,156.06333333333333
2005-05-22,2005.0,5.0,2.0,2.9523809523809526,249.52317880794703,128.35761589403972,121.16556291390728,188.94039735099338
2005-05-23,2005.0,5.0,2.0,0.1213235294117647,270.6168831168831,125.3896103896104,145.22727272727272,198.00324675324674
2005-05-24,2005.0,5.0,2.0,0.054945054945054944,253.8235294117647,103.97385620915033,149.84967320261438,178.8986928104575
