data,ano,mes,quinzena,PRCP,TMAX,TMIN,diff,TMean
2015-05-03,2015.0,5.0,1.0,8.008498583569406,251.2670157068063,105.70899470899471,145.62962962962962,178.52380952380952
2015-05-04,2015.0,5.0,1.0,73.32911392405063,245.8062827225131,101.50526315789473,144.31052631578947,173.66052631578947
2015-05-05,2015.0,5.0,1.0,19.970588235294116,206.30366492146598,69.26701570680628,136.93684210526317,137.72105263157894
2015-05-06,2015.0,5.0,1.0,33.166233766233766,180.5026178010471,81.37696335078535,99.12565445026178,130.93979057591622
2015-05-07,2015.0,5.0,1.0,24.72703412073491,227.21693121693121,102.16931216931216,125.04761904761905,164.6931216931217
2015-05-08,2015.0,5.0,1.0,44.20734908136483,249.4,120.75263157894737,128.64736842105262,185.07631578947368
2015-05-09,2015.0,5.0,1.0,11.930555555555555,205.1968085106383,86.96791443850267,118.70053475935829,146.3181818181818
2015-05-10,2015.0,5.0,1.0,2.552112676056338,169.64893617021278,63.70744680851064,105.94148936170212,116.67819148936171
2015-05-11,2015.0,5.0,1.0,49.58354755784062,148.2275132275132,70.8941798941799,77.33333333333333,109.56084656084656
2015-05-12,2015.0,5.0,1.0,39.0763358778626,154.33684210526314,47.7,106.63684210526316,101.01842105263158
2015-05-13,2015.0,5.0,1.0,2.6356382978723403,122.74736842105263,4.926315789473684,117.82105263157895,63.83684210526316
2015-05-14,2015.0,5.0,1.0,6.1502732240437155,153.69430051813472,33.234375,120.390625,93.4296875
2015-05-15,2015.0,5.0,1.0,63.1575,168.63350785340313,74.73298429319372,93.90052356020942,121.68324607329843
2015-05-16,2015.0,5.0,2.0,5.088642659279778,206.61904761904762,102.33333333333333,104.28571428571429,154.47619047619048
2015-05-17,2015.0,5.0,2.0,15.21111111111111,237.85106382978722,128.88297872340425,108.96808510638297,183.36702127659575
2015-05-18,2015.0,5.0,2.0,39.61842105263158,226.20526315789473,95.36315789473684,130.8421052631579,160.7842105263158
2015-05-19,2015.0,5.0,2.0,2.4086021505376345,149.41361256544502,28.359375,120.99476439790575,88.91623036649214
2015-05-20,2015.0,5.0,2.0,0.3315068493150685,128.04787234042553,6.661375661375661,121.31914893617021,67.38829787234043
2015-05-21,2015.0,5.0,2.0,0.9038461538461539,156.44736842105263,29.682539682539684,126.94708994708995,93.15608465608466
2015-05-22,2015.0,5.0,2.0,1.6876712328767123,214.52631578947367,27.020942408376964,187.45263157894738,120.8
2015-05-23,2015.0,5.0,2.0,0.017045454545454544,218.89473684210526,45.17553191489362,173.59574468085106,131.97340425531914
2015-05-24,2015.0,5.0,2.0,22.460227272727273,237.0904255319149,95.24468085106383,141.84574468085106,166.16755319148936
2015-05-25,2015.0,5.0,2.0,231.2454780361757,208.7037037037037,124.52380952380952,84.17989417989418,166.6137566137566
2015-05-26,2015.0,5.0,2.0,41.93717277486911,228.55789473684212,139.8736842105263,88.6842105263158,184.2157894736842
2015-05-27,2015.0,5.0,2.0,153.56423173803526,228.15263157894736,130.84736842105264,97.30526315789474,179.5
2015-05-28,2015.0,5.0,2.0,20.49869451697128,251.92670157068062,118.65968586387434,133.2670157068063,185.2931937172775
2015-05-29,2015.0,5.0,2.0,28.233766233766232,262.55263157894734,140.22222222222223,122.3068783068783,201.37566137566137
2015-05-30,2015.0,5.0,2.0,152.2185089974293,223.96842105263158,97.38743455497382,126.50526315789473,160.7157894736842
2015-05-31,2015.0,5.0,2.0,41.29891304347826,154.11702127659575,28.079787234042552,126.0372340425532,91.09840425531915
2015-06-01,2015.0,6.0,1.0,0.590027700831025,165.84864864864866,34.57297297297297,131.27567567567567,100.21081081081081
2015-06-02,2015.0,6.0,1.0,0.2087912087912088,193.40106951871658,44.55080213903744,148.85026737967914,118.975935828877
2015-06-03,2015.0,6.0,1.0,5.988888888888889,220.46486486486486,87.84324324324324,132.6216216216216,154.15405405405406
2015-06-04,2015.0,6.0,1.0,68.3125,231.5108695652174,131.63978494623655,99.7663043478261,181.62771739130434
2015-06-05,2015.0,6.0,1.0,2.3934426229508197,232.96236559139786,126.0752688172043,106.88709677419355,179.5188172043011
2015-06-06,2015.0,6.0,1.0,1.5203488372093024,213.13440860215053,78.80213903743315,134.29569892473117,145.98655913978496
2015-06-07,2015.0,6.0,1.0,109.24,230.94021739130434,114.53804347826087,116.40217391304348,172.7391304347826
2015-06-08,2015.0,6.0,1.0,36.56989247311828,261.9516129032258,136.0215053763441,125.93010752688173,198.98655913978496
2015-06-09,2015.0,6.0,1.0,23.927648578811368,265.3606557377049,123.13586956521739,142.2513661202186,194.23497267759564
2015-06-10,2015.0,6.0,1.0,3.457765667574932,284.9027027027027,144.17297297297299,141.10326086956522,214.4211956521739
2015-06-11,2015.0,6.0,1.0,22.180851063829788,248.30810810810812,130.96216216216217,117.34594594594594,189.63513513513513
2015-06-12,2015.0,6.0,1.0,266.1938775510204,193.84324324324325,115.87567567567568,77.96756756756757,154.85945945945946
2015-06-13,2015.0,6.0,1.0,17.846575342465755,210.77173913043478,122.6195652173913,88.15217391304348,166.69565217391303
2015-06-14,2015.0,6.0,1.0,67.66037735849056,214.6810810810811,142.23243243243243,72.44864864864864,178.45675675675676
2015-06-15,2015.0,6.0,1.0,36.84444444444444,259.07650273224044,153.93370165745856,104.87292817679558,206.37016574585635
2015-06-16,2015.0,6.0,2.0,81.63660477453581,239.9016393442623,116.21428571428571,123.57142857142857,178.0
2015-06-17,2015.0,6.0,2.0,5.86058981233244,226.04395604395606,117.29120879120879,108.49723756906077,171.6961325966851
2015-06-18,2015.0,6.0,2.0,17.36263736263736,240.17582417582418,132.64088397790056,107.38674033149171,186.3342541436464
2015-06-19,2015.0,6.0,2.0,0.37640449438202245,243.35911602209944,93.08333333333333,150.17777777777778,168.17222222222222
2015-06-20,2015.0,6.0,2.0,15.03399433427762,226.91666666666666,107.54395604395604,119.13333333333334,167.35
2015-06-21,2015.0,6.0,2.0,30.053370786516854,240.36813186813185,132.06593406593407,108.3021978021978,186.21703296703296
2015-06-22,2015.0,6.0,2.0,27.16304347826087,273.0939226519337,146.61666666666667,126.5111111111111,209.87222222222223
2015-06-23,2015.0,6.0,2.0,128.65994962216624,265.879781420765,135.0326086956522,130.68852459016392,200.53551912568307
2015-06-24,2015.0,6.0,2.0,1.1717451523545706,257.06043956043953,126.03296703296704,131.02747252747253,191.5467032967033
2015-06-25,2015.0,6.0,2.0,16.433701657458563,261.1576086956522,144.2608695652174,116.89673913043478,202.70923913043478
2015-06-26,2015.0,6.0,2.0,15.624309392265193,245.96216216216217,133.56756756756758,112.3945945945946,189.76486486486488
2015-06-27,2015.0,6.0,2.0,8.223495702005732,243.92307692307693,119.04918032786885,124.73626373626374,181.55494505494505
2015-06-28,2015.0,6.0,2.0,15.495844875346261,252.46448087431693,122.17127071823204,130.41436464088397,187.37845303867402
2015-06-29,2015.0,6.0,2.0,32.23719676549865,242.9060773480663,137.68852459016392,105.04972375690608,190.38121546961327
2015-06-30,2015.0,6.0,2.0,64.69610389610389,242.21857923497268,129.91803278688525,112.30054644808743,186.06830601092895
2015-07-01,2015.0,7.0,1.0,1.4530831099195711,216.23529411764707,88.23529411764706,128.0,152.23529411764707
2015-07-02,2015.0,7.0,1.0,0.0,214.98395721925132,84.43850267379679,130.54545454545453,149.71122994652407
