ano,mes,PRCP,TMAX,TMIN,diff,TMean
1973.0,5.0,52.10307493242861,231.77841421257796,100.11258221214726,131.6374757973544,165.9385941766649
1973.0,6.0,34.43125135143431,296.8593546583353,168.59011017361232,128.27918974019744,232.72970504371105
1973.0,7.0,38.84568062445287,319.25558171855283,189.57987754615846,129.6651605642701,254.4249674916571
1973.0,8.0,16.93804267985789,318.5257003985211,179.30838284223682,139.23093652907795,248.9047368682535
1974.0,5.0,53.23774414401806,246.91332143282833,125.66261756233774,121.28647942031795,186.16406526423296
1974.0,6.0,31.79250762398502,270.34289343675454,143.17230894113447,127.0951668127771,206.73967993780454
1974.0,7.0,14.115176351427358,343.87926236740446,189.31839852820704,154.49866712027284,266.57968937788803
1974.0,8.0,48.268268770923,295.6186941288526,169.16464955654973,126.23868215862075,232.32180358828504
1975.0,5.0,31.70743711398415,262.2171414272232,128.29622183212737,133.95600171754074,195.2421776899478
1975.0,6.0,35.191910298013816,293.21317143270676,170.52142152706793,122.5901540110032,231.91621580490983
1975.0,7.0,14.801593425443805,324.1473284615105,181.06089347703082,143.0010021758546,252.59920310551672
1975.0,8.0,42.181760544149135,318.53903163356733,187.3315513211029,131.2301396316925,252.95829927883253
1976.0,5.0,31.387626585656257,225.9819732227576,87.96279859137043,138.13573174696438,156.95095372355894
1976.0,6.0,28.859202093171138,282.95202433990926,150.08487053296605,132.88479063432,216.4995016473636
1976.0,7.0,24.40130413058912,321.61508744089787,183.66406667919978,138.07295278873855,252.58172747471866
1976.0,8.0,15.703882597925425,311.74330575894794,160.78779860953588,150.97255132136848,236.24694370069938
1977.0,5.0,32.74233961829329,272.27029034953586,142.01456808353453,130.21531774961224,207.13633651440102
1977.0,6.0,47.89421084035591,301.01653925750907,172.89991694576187,128.18921382402624,236.92193234549595
1977.0,7.0,21.63710501880435,327.22527656241414,201.5499606466956,125.64897131587152,264.38713764440416
1977.0,8.0,45.78153212883364,307.88619605793724,183.13831452125052,124.81593093104863,245.47823059241293
1978.0,5.0,41.327585785009035,233.2500951076361,113.72112122769042,119.27260657496046,173.47393675232823
1978.0,6.0,26.85634933754671,294.90895790151484,165.19790175442375,129.69266488676428,229.97944539265703
1978.0,7.0,41.172532846618445,326.37097270788644,196.99506750004414,129.33583563458507,261.5865046643608
1978.0,8.0,33.18014023542554,312.2482464758869,175.37686163580233,136.954101849166,243.7220643643787
1979.0,5.0,36.895937671253385,242.16296252622234,107.6155148897834,134.59494111256302,174.86451682564984
1979.0,6.0,31.79928766036396,288.8140307901053,158.85035862336088,130.13425178753977,223.75157841232013
1979.0,7.0,42.58274839206495,304.4984523668392,185.75475874008194,118.95689421721298,245.10792546126402
1979.0,8.0,29.204982519863865,302.7523542198021,175.66483281733326,127.21335249913318,239.1188763852227
1980.0,5.0,21.10723111210935,251.01261315930932,111.07534642049822,139.8961525172637,181.05559746942825
1980.0,6.0,21.259112092836997,306.89782598188015,167.8907157641732,138.9027778187198,237.45127014177675
1980.0,7.0,16.127065649190342,370.53144164973054,210.02081521177826,160.31845838819385,290.3148743006516
1980.0,8.0,30.726409622421905,350.32718329541405,198.97169635144596,151.3978727897204,274.6407226133004
1981.0,5.0,62.65256592036439,219.6645284847864,95.96195505711611,123.59110267943214,157.8515364079003
1981.0,6.0,62.597178214105114,293.4996851546444,175.81063301179955,117.78651630911612,234.59898252291526
1981.0,7.0,62.90854653558497,311.8122826698594,201.36086863967304,110.61336354994619,256.50898740384605
1981.0,8.0,26.95491415973352,295.01124153422796,172.29289328613729,122.87949581275028,233.55257077964154
1982.0,5.0,50.95894330633199,259.07599109854016,134.2971879816157,124.30746528704657,196.94159706740405
1982.0,6.0,43.92409555570573,262.79726125885594,145.65157798453532,116.7391836937714,204.43075940278752
1982.0,7.0,27.36883231516491,317.91327747631146,195.5632312812182,121.79289988661151,257.0232549644513
1982.0,8.0,68.36289279043805,296.22769349416836,176.64318824942555,119.00480162318182,236.70082137959807
1983.0,5.0,42.726344224912225,226.25479458711212,98.970045672433,127.12769921727497,162.81033013451167
1983.0,6.0,28.907222427714824,287.05713572543016,156.73980179634108,130.2285757866942,221.93455620723128
1983.0,7.0,14.775875920074505,335.57105302413015,197.23039599102972,138.10820700992423,266.52062763727906
1983.0,8.0,13.00239967760629,355.5730291855687,202.01019187358008,153.28465030841747,278.9223310364719
1984.0,5.0,31.972636997231497,228.81713370312204,97.27130584195339,131.51462703715345,163.07359031731755
1984.0,6.0,31.885231954907557,300.61635790815205,177.09506337823956,123.50523629576286,238.8558030006061
1984.0,7.0,23.26968307695308,313.04720326333285,172.108856514268,140.9430010781081,242.5757027242788
1984.0,8.0,12.116293945137219,327.41607809780555,174.88755744759106,152.5232313506917,251.18072201578337
1985.0,5.0,39.144439139872865,249.7522655391579,122.18338151834647,127.54222507377908,185.98361569964632
1985.0,6.0,57.88371298782484,273.51437533472085,151.91478501417123,121.5995903205496,212.714580174446
1985.0,7.0,21.830584969628607,320.5499736427844,181.8159647009409,138.72938185708819,251.18528271424026
1985.0,8.0,50.36513235800409,289.8131404864745,172.24014498165548,117.53454373292638,231.04913898963505
1986.0,5.0,43.37494393544198,248.56573234955883,128.65263639220336,119.91707933956464,188.61325995072647
1986.0,6.0,28.326994105833574,305.21348319223966,181.13015334053281,124.05994335521238,243.17567368664226
1986.0,7.0,33.478510984815344,335.15968397001996,204.04347747593792,131.0984117397662,269.6104781001369
1986.0,8.0,26.4120898709957,292.2803336879847,155.70330004216208,136.57294745694526,223.9938599595121
1987.0,5.0,27.732660864943938,279.00130984193015,142.7916524100315,136.18517292470864,210.89275241265128
1987.0,6.0,28.892791015873815,308.0992757100363,174.47967140642103,133.62221626190782,241.2851482242436
