ano,mes,PRCP,TMAX,TMIN,diff,TMean
1973.0,5.0,15.992435885999031,292.44868398887235,145.1447496745628,147.2702903852626,218.71274143674628
1973.0,6.0,50.205599070386725,318.0203315777408,189.34168174551712,128.52609995973089,253.5574508263609
1973.0,7.0,32.1812780258873,337.8313683844363,211.40742204620648,126.40234007219301,274.6184972456569
1973.0,8.0,14.830458538298709,337.62181124648043,198.15710623904553,139.5100394912741,267.92114103221235
1974.0,5.0,27.472597947595233,310.8759870088613,176.21702386160447,134.75283120274324,243.51793698844432
1974.0,6.0,19.428019173094345,332.11871710975345,187.13330525493285,145.15074260837707,259.5699400521555
1974.0,7.0,10.57523866581372,354.5891301363434,208.92096803802906,145.72329477557022,281.79100969987655
1974.0,8.0,48.23764103522269,328.33499361254087,203.57182551029032,124.81148806568143,265.9484894810007
1975.0,5.0,48.75744732616255,290.4813222650081,158.77162736689212,131.63264430151227,224.66271557840977
1975.0,6.0,28.80728979609085,324.9281801775278,196.5201938746082,128.3714053895154,260.7138227503635
1975.0,7.0,28.454399592102092,328.19383658367815,204.73486361688114,123.45886869289035,266.47282283190685
1975.0,8.0,21.35774742354646,336.578807737754,205.43562953162498,131.14963396225997,271.003990756624
1976.0,5.0,32.02024236541168,272.19591087876654,136.309971842294,135.91516813595382,204.25952233003855
1976.0,6.0,24.326412656173325,325.021637973328,189.15242086537273,135.87715542182025,257.10082038779876
1976.0,7.0,41.717423352295306,315.85553968239583,202.8439215508863,112.99983069923346,259.3637976084576
1976.0,8.0,12.828361433280236,344.4419490920506,197.62948844523746,146.8805696076032,271.02322424563624
1977.0,5.0,19.295892237968864,291.6905305679664,173.6051676366012,117.92273411876948,232.67838117323814
1977.0,6.0,22.217400207707623,338.5204509395483,203.63968284203548,134.90440264829897,271.03363510586
1977.0,7.0,10.085654033791041,355.18986820597246,217.56994767691472,137.48594497326297,286.2799707285316
1977.0,8.0,19.69980472377329,353.83997479588413,220.00404008930528,133.89559848220745,286.9494592384151
1978.0,5.0,26.66931693823377,304.88116840973356,168.00609105345657,136.6859618652283,236.47275873117087
1978.0,6.0,25.489931085722226,337.30990220933455,204.00185524075394,133.26086707929176,270.6190723030161
1978.0,7.0,11.632608955725292,368.02323807237286,224.26973611313963,143.77329181579395,296.1702988968427
1978.0,8.0,24.182455018023717,343.31299937047555,210.38983578313704,132.8587485863376,276.8374795934102
1979.0,5.0,38.121799618655885,279.1649941875178,146.99024254169984,131.98823033819022,213.08580521073233
1979.0,6.0,28.73000664189766,317.9248975618743,191.8116873790402,126.02267483207385,254.91315655422719
1979.0,7.0,33.92097522910945,342.6467040232029,217.53598733010043,125.02485840575477,280.0299346557983
1979.0,8.0,24.897664102757634,333.7885868890442,202.21494108610196,131.55716863298778,267.9847011902568
1980.0,5.0,40.44600155308835,291.47087411338674,161.84728264606423,129.59270118446253,226.6542607630123
1980.0,6.0,11.081910770869332,355.09730711945457,215.9812258579244,139.0293921732902,285.4970559081172
1980.0,7.0,6.219540640641704,380.0602539182573,226.60487907767092,153.368585854202,303.28599728666205
1980.0,8.0,17.04037552751697,355.9246149239055,218.9622850332391,136.9588852578607,287.47216670276987
1981.0,5.0,41.128655127553216,286.00434187370587,153.3345934254626,132.42907725367476,219.58328468894157
1981.0,6.0,52.229225533686034,326.19674591521755,204.8573214000707,121.37173376714966,265.60061609714325
1981.0,7.0,20.965514198726286,347.64135800231566,219.86057776508412,127.72338351034712,283.76528237167093
1981.0,8.0,26.14054506289399,339.97960226924255,206.14933239012782,133.6762371803041,272.9827356470723
1982.0,5.0,51.028870032077926,283.9072659828319,162.07454748023127,121.89934865457633,222.95759165554372
1982.0,6.0,37.42961536593721,324.4215014632578,195.0857349812966,129.3928624381363,259.7229189014049
1982.0,7.0,14.567885301339068,350.7241280788456,218.42867240215898,132.29267369066062,284.5754786301906
1982.0,8.0,12.371833887709544,357.2060545811117,218.15870793235803,139.06048206899482,287.68187736977893
1983.0,5.0,36.01666201312717,288.8291564795497,146.24912518990925,142.5605620162022,217.54577791189945
1983.0,6.0,26.97977080142243,316.13074761375185,183.35416328956802,132.77662069634232,249.73745119197946
1983.0,7.0,19.780875182808806,344.8209567852347,214.72590094020563,130.06238608335192,279.7868795001666
1983.0,8.0,21.490491559799835,354.18639922186185,216.54511748832587,137.6378850234927,285.36406000007224
1984.0,5.0,19.575689286227366,308.9615062038847,161.67388507901015,147.3281710463962,235.34002539497067
1984.0,6.0,19.749810429717666,334.0677100337493,203.65406055962893,130.41335025273767,268.8605067468196
1984.0,7.0,14.658878060917504,349.9460672993799,209.43205758571492,140.51490607555172,279.68856469814966
1984.0,8.0,16.211495655805955,349.2309316838077,210.08380172005175,139.14000956482192,279.6618903961389
1985.0,5.0,23.38010020327896,303.02521446736984,166.77148618174493,136.22303262084168,234.90645073776983
1985.0,6.0,31.949460167783247,325.2945988996109,195.92912744035138,129.40448923560936,260.59239632291724
1985.0,7.0,18.282321160266786,344.07930315166266,207.2336064393609,136.82565618934464,275.66773140997446
1985.0,8.0,8.384618459287108,363.6165491235864,216.11850885604426,147.48336395854383,289.86476133867706
1986.0,5.0,42.53431809765771,290.69192279509974,162.49673589464487,128.1986212645041,226.59402840450457
1986.0,6.0,46.3183492915229,318.4958685104181,203.81482258557446,114.71352994927602,261.1602563340701
1986.0,7.0,9.53707561078341,353.55778412830153,218.09133688814947,135.54473266630816,285.8100836942765
1986.0,8.0,23.324614949063644,340.8080055288899,210.6829875198017,130.11073889581607,275.75185273905527
1987.0,5.0,47.331986399673056,288.3916498931321,165.40291968747,123.14938594095157,226.85659998661203
1987.0,6.0,49.60736072953172,313.2597580347522,195.57183656209097,117.80238258149615,254.3778548879334
1987.0,7.0,18.562375747583665,334.35415476540396,211.28192088665836,123.09401996275281,272.7997808243068
1987.0,8.0,17.267930965172532,349.10654510457925,216.6291071955764,132.5380358118703,282.8341445067763
1988.0,5.0,16.236129126677202,292.0143351444886,149.3839410780205,142.6997836008011,220.66925540268326
1988.0,6.0,22.372534654165793,328.34292350879736,190.1140882782514,138.22963048289697,259.23092774843326
1988.0,7.0,26.68774520362812,338.81133319277086,213.01593927227833,125.8324679547455,275.89485338688064
1988.0,8.0,13.806195207482542,348.69071391515706,214.8675006185317,133.82762582860394,281.77374710846743
1989.0,5.0,40.64288938010647,307.2732211156073,174.79745198979253,132.48876556398437,241.03805455781097
1989.0,6.0,49.050958224299364,317.88589342933216,191.9456498792041,126.01270137283932,254.95420300944596
1989.0,7.0,16.135761101090758,342.71820915710407,210.57486101011463,132.15506158691005,276.6507389786255
1989.0,8.0,19.912739553101527,334.36091433853005,207.8949229051702,126.48026043388161,271.13473688167585
1990.0,5.0,31.703102019917395,297.901096855961,169.5476400941728,128.34809288329552,233.72771462070583
1990.0,6.0,11.705220764615351,360.4443605993053,223.71415150337305,136.75657814201668,292.09768682276615
1990.0,7.0,32.827474609064495,329.76651291365204,207.77452192192942,121.96885405962784,268.757205010296
1990.0,8.0,15.721217560157307,338.9409672835607,207.04886639280818,131.92696378870568,272.98926693962954
1991.0,5.0,33.81595707790029,301.4526463345536,174.84181176958563,126.64079063859084,238.15982200389612
1991.0,6.0,37.93158416880662,327.878590381156,201.94367060311197,125.91241763228595,264.92238610793794
