ano,mes,PRCP,TMAX,TMIN,diff,TMean
1973.0,5.0,41.833131020312,208.97065462153918,93.9465817079912,115.00459917117261,151.4643816929739
1973.0,6.0,49.227864984558096,287.5901642318216,168.1681146311912,119.41851803353269,227.87770049448423
1973.0,7.0,35.38546341122312,303.6591943603691,186.9889903925461,116.66954131328936,245.30853926620702
1973.0,8.0,17.29776916772546,297.7876147847657,179.7892496045372,117.99884484738992,238.7928088871483
1974.0,5.0,57.33826286060991,216.8742794138719,110.55739110184378,106.31767722018276,163.720083149033
1974.0,6.0,47.647891389683764,257.87148453005864,141.65751432981492,116.21775675301515,199.76704680078393
1974.0,7.0,14.172790722914018,317.8478712357217,186.09931083693746,131.73098681442633,251.97593657032667
1974.0,8.0,34.97197006062644,281.6904313616505,165.5099875378365,116.16659554166651,223.58417530577415
1975.0,5.0,33.82386526154602,250.63855858667037,124.56542783228664,126.21410392883544,187.6815410272579
1975.0,6.0,32.9205382946313,285.2648935772965,167.9868296822959,117.28722869137886,226.62426181884396
1975.0,7.0,26.916601174565336,298.81581755551684,173.0299513071749,125.95592031170318,235.97143538713516
1975.0,8.0,41.56519237683876,295.0873692142712,184.18929374034366,110.95634084984049,239.6414984728087
1976.0,5.0,30.081077834891545,215.10756580341976,84.26764667536297,130.78346185277704,149.68768741643336
1976.0,6.0,24.718705627705628,282.3174007978265,154.0595845659237,128.25676803137648,218.190318947523
1976.0,7.0,28.162871974151173,308.5676907007552,176.41704191623546,132.0913445389252,242.47113418403742
1976.0,8.0,15.30514540135931,284.59402355609575,149.01909348380238,135.6054219498171,216.81003240254705
1977.0,5.0,24.698232648687387,276.887957207983,136.87406643581573,139.99441252192094,206.88391235792523
1977.0,6.0,31.90374838114602,280.5638116790242,151.8422579084404,128.49426948612233,216.28779651291225
1977.0,7.0,31.08269270143701,317.6334537475408,190.94971437174752,126.72961071728459,254.32654440269857
1977.0,8.0,55.892679541314095,279.0847142054537,167.04874140891994,112.3850785371847,223.18603181581963
1978.0,5.0,38.80871879782122,219.0251776557668,103.92698612752763,115.08414342851795,161.4476800633003
1978.0,6.0,25.97383442177138,287.8379297121499,158.78238219415923,129.0619697116986,223.32870915139804
1978.0,7.0,37.84473260612236,299.07569828840025,182.11475096474254,117.10331281879482,240.58988248585243
1978.0,8.0,27.097513244432548,292.75942801858395,168.08842235140003,124.84599778949163,230.27569555102548
1979.0,5.0,20.004783077394553,232.53665315970727,97.26580676068158,135.06673217674165,164.87628261560232
1979.0,6.0,24.28628800621274,288.3453296703297,156.54418705271505,131.7902794931764,222.44235455633586
1979.0,7.0,46.09935593417647,292.20485015297885,173.29428004401655,118.88211551446372,232.74489873268325
1979.0,8.0,40.422097642634164,283.9598321193557,171.34399635740593,112.5834507031028,227.62140661121572
1980.0,5.0,24.03808592185838,241.69656083065613,108.36537864382602,133.19935128651042,175.0463437349665
1980.0,6.0,35.97738809642974,280.78565715805865,148.45704743809398,132.26599970956767,214.6253346378382
1980.0,7.0,25.44881320309488,325.0987850378774,194.9011062630943,130.1041697140161,259.97136458505753
1980.0,8.0,42.513420057415765,315.76895024735865,190.19458691527015,125.45700503860246,252.9336213504137
1981.0,5.0,52.28701649843163,207.53427563360975,87.48321571788252,120.00007231154008,147.53958334032674
1981.0,6.0,46.160040162386494,285.33446205170975,170.09463390273788,115.2160126751717,227.7027097426868
1981.0,7.0,52.63025359051029,293.00529707440035,184.26912517841788,108.74463169156864,238.63644696802436
1981.0,8.0,44.686818320134016,281.1918310101665,167.55802404770122,113.59260310464441,224.38905342363992
1982.0,5.0,39.72669653464024,262.21222276967865,133.78209046881383,128.3019660814342,198.0455966670683
1982.0,6.0,37.39245153344529,255.7516693117028,132.67562593746393,122.83228119673191,194.3280667724681
1982.0,7.0,48.77474477039912,298.31988978316986,186.42255996883105,111.7482150994701,242.44545264435038
1982.0,8.0,27.406056004166874,278.5807694194929,158.2540965511844,120.3067506828311,218.4103601019102
